19:23:45.155  192.168.1.116:自动分配端口失败, ret = -1
19:24:39.635  192.168.1.116:自动分配端口失败, ret = -1
19:25:32.136  192.168.1.116:自动分配端口失败, ret = -1
19:25:48.378  192.168.1.116:自动分配端口失败, ret = -1
19:27:41.354  192.168.1.116:自动分配端口失败, ret = -1
19:28:23.838  192.168.1.116:自动分配端口失败, ret = -1
19:29:28.179  192.168.1.116:自动分配端口失败, ret = -1
19:54:47.679  192.168.1.116:自动分配端口失败, ret = -1
19:55:03.928  192.168.1.116:自动分配端口失败, ret = -1
19:55:33.595  192.168.1.116:自动分配端口失败, ret = -1
19:56:07.827  192.168.1.116:自动分配端口失败, ret = -1
19:56:38.313  192.168.1.116:自动分配端口失败, ret = -1
19:57:05.886  192.168.1.116:自动分配端口失败, ret = -1
20:32:30.981  192.168.1.116:自动分配端口失败, ret = -1
20:32:47.224  192.168.1.116:自动分配端口失败, ret = -1
20:33:33.173  192.168.1.116:自动分配端口失败, ret = -1
20:33:49.424  192.168.1.116:自动分配端口失败, ret = -1
20:35:26.008  192.168.1.116:自动分配端口失败, ret = -1
20:35:42.255  192.168.1.116:自动分配端口失败, ret = -1
20:35:57.254  192.168.1.116:自动分配端口失败, ret = -1
20:36:12.253  192.168.1.116:自动分配端口失败, ret = -1
20:36:48.541  192.168.1.116:自动分配端口失败, ret = -1
20:37:04.784  192.168.1.116:自动分配端口失败, ret = -1
20:37:19.783  192.168.1.116:自动分配端口失败, ret = -1
20:37:55.838  192.168.1.116:自动分配端口失败, ret = -1
20:38:12.085  192.168.1.116:自动分配端口失败, ret = -1
20:38:27.083  192.168.1.116:自动分配端口失败, ret = -1
20:38:42.090  192.168.1.116:自动分配端口失败, ret = -1
20:38:57.086  192.168.1.116:自动分配端口失败, ret = -1
20:39:12.084  192.168.1.116:自动分配端口失败, ret = -1
20:39:27.083  192.168.1.116:自动分配端口失败, ret = -1
20:39:42.101  192.168.1.116:自动分配端口失败, ret = -1
20:39:57.088  192.168.1.116:自动分配端口失败, ret = -1
20:40:12.088  192.168.1.116:自动分配端口失败, ret = -1
20:40:27.089  192.168.1.116:自动分配端口失败, ret = -1
20:40:42.086  192.168.1.116:自动分配端口失败, ret = -1
20:40:57.096  192.168.1.116:自动分配端口失败, ret = -1
20:41:12.087  192.168.1.116:自动分配端口失败, ret = -1
20:41:27.091  192.168.1.116:自动分配端口失败, ret = -1
20:41:42.092  192.168.1.116:自动分配端口失败, ret = -1
20:41:57.114  192.168.1.116:自动分配端口失败, ret = -1
20:42:12.089  192.168.1.116:自动分配端口失败, ret = -1
20:42:27.084  192.168.1.116:自动分配端口失败, ret = -1
20:42:42.083  192.168.1.116:自动分配端口失败, ret = -1
20:43:31.333  192.168.1.116:自动分配端口失败, ret = -1
20:46:42.379  192.168.1.116:自动分配端口失败, ret = -1
20:47:15.779  192.168.1.116:自动分配端口失败, ret = -1
20:47:32.021  192.168.1.116:自动分配端口失败, ret = -1
20:48:28.247  192.168.1.116:自动分配端口失败, ret = -1
