05:56:23.153  192.168.1.116:接收设备返回数据失败！
05:56:23.160  192.168.1.116:连接设备失败，错误状态值为:10
15:28:34.162  192.168.1.116:自动分配端口失败, ret = -1
15:32:09.199  192.168.1.116:自动分配端口失败, ret = -1
15:38:35.291  192.168.1.116:自动分配端口失败, ret = -1
15:44:56.320  192.168.1.116:自动分配端口失败, ret = -1
15:51:34.101  192.168.1.116:自动分配端口失败, ret = -1
15:51:50.353  192.168.1.116:自动分配端口失败, ret = -1
15:52:05.353  192.168.1.116:自动分配端口失败, ret = -1
15:58:30.835  192.168.1.116:自动分配端口失败, ret = -1
16:00:52.775  192.168.1.116:自动分配端口失败, ret = -1
16:01:09.016  192.168.1.116:自动分配端口失败, ret = -1
16:01:24.013  192.168.1.116:自动分配端口失败, ret = -1
16:01:39.017  192.168.1.116:自动分配端口失败, ret = -1
16:01:54.018  192.168.1.116:自动分配端口失败, ret = -1
16:02:09.022  192.168.1.116:自动分配端口失败, ret = -1
16:02:24.010  192.168.1.116:自动分配端口失败, ret = -1
16:02:39.017  192.168.1.116:自动分配端口失败, ret = -1
16:02:54.009  192.168.1.116:自动分配端口失败, ret = -1
16:04:04.837  192.168.1.116:自动分配端口失败, ret = -1
16:04:21.101  192.168.1.116:自动分配端口失败, ret = -1
16:04:36.078  192.168.1.116:自动分配端口失败, ret = -1
16:04:51.132  192.168.1.116:自动分配端口失败, ret = -1
16:05:06.077  192.168.1.116:自动分配端口失败, ret = -1
16:05:21.093  192.168.1.116:自动分配端口失败, ret = -1
16:05:36.072  192.168.1.116:自动分配端口失败, ret = -1
16:05:51.088  192.168.1.116:自动分配端口失败, ret = -1
16:12:29.356  192.168.1.116:自动分配端口失败, ret = -1
16:24:14.205  192.168.1.116:自动分配端口失败, ret = -1
16:24:30.447  192.168.1.116:自动分配端口失败, ret = -1
16:24:45.454  192.168.1.116:自动分配端口失败, ret = -1
16:25:00.468  192.168.1.116:自动分配端口失败, ret = -1
16:25:15.451  192.168.1.116:自动分配端口失败, ret = -1
16:25:30.446  192.168.1.116:自动分配端口失败, ret = -1
16:25:45.448  192.168.1.116:自动分配端口失败, ret = -1
16:26:00.447  192.168.1.116:自动分配端口失败, ret = -1
16:26:15.448  192.168.1.116:自动分配端口失败, ret = -1
16:35:10.272  192.168.1.116:自动分配端口失败, ret = -1
16:35:26.543  192.168.1.116:自动分配端口失败, ret = -1
16:38:47.304  192.168.1.116:自动分配端口失败, ret = -1
16:39:03.565  192.168.1.116:自动分配端口失败, ret = -1
19:59:28.738  192.168.1.116:自动分配端口失败, ret = -1
19:59:45.015  192.168.1.116:自动分配端口失败, ret = -1
20:13:41.649  192.168.1.116:自动分配端口失败, ret = -1
20:13:57.929  192.168.1.116:自动分配端口失败, ret = -1
20:14:12.926  192.168.1.116:自动分配端口失败, ret = -1
20:14:27.926  192.168.1.116:自动分配端口失败, ret = -1
20:19:17.353  192.168.1.116:自动分配端口失败, ret = -1
20:19:33.615  192.168.1.116:自动分配端口失败, ret = -1
20:19:48.613  192.168.1.116:自动分配端口失败, ret = -1
20:20:03.620  192.168.1.116:自动分配端口失败, ret = -1
20:20:18.642  192.168.1.116:自动分配端口失败, ret = -1
20:20:33.619  192.168.1.116:自动分配端口失败, ret = -1
20:20:48.633  192.168.1.116:自动分配端口失败, ret = -1
20:21:03.630  192.168.1.116:自动分配端口失败, ret = -1
20:21:18.637  192.168.1.116:自动分配端口失败, ret = -1
20:21:33.622  192.168.1.116:自动分配端口失败, ret = -1
20:21:48.627  192.168.1.116:自动分配端口失败, ret = -1
20:22:03.630  192.168.1.116:自动分配端口失败, ret = -1
20:22:18.625  192.168.1.116:自动分配端口失败, ret = -1
20:22:33.627  192.168.1.116:自动分配端口失败, ret = -1
20:22:48.616  192.168.1.116:自动分配端口失败, ret = -1
20:23:03.638  192.168.1.116:自动分配端口失败, ret = -1
23:28:19.187  192.168.1.116:自动分配端口失败, ret = -1
